palabra,ico-m,ico-sd,palabra_noaccents
andante,2.348,1.695,andante
andar,1.762,1.411,andar
andén,3.318,2.056,anden
anécdota,2.174,1.614,anecdota
anemia,2.217,1.204,anemia
anestesia,3.238,1.729,anestesia
anestesista,3.36,1.753,anestesista
anexa,2.652,1.668,anexa
anexión,3.75,1.653,anexion
anexionar,2.714,1.875,anexionar
anexo,2.72,1.72,anexo
anfibios,2.6,1.756,anfibios
anfiteatro,2.667,1.592,anfiteatro
anfitriona,2.68,1.574,anfitriona
angelical,3.818,2.015,angelical
angina,3.4,1.979,angina
anglosajón,3.478,2.213,anglosajon
angora,1.917,1.084,angora
angosta,1.357,1.336,angosta
angular,2.783,1.858,angular
ángulo,3.238,1.841,angulo
angustiosa,3.182,2.015,angustiosa
anhelar,2.8,1.581,anhelar
anidar,3.174,1.922,anidar
ánima,2.6,1.826,anima
animación,3.5,2.325,animacion
animal,2.48,1.503,animal
animalito,3.958,1.989,animalito
anime,3.15,2.134,anime
anímico,3.88,2.128,animico
animosidad,2.85,1.496,animosidad
animoso,2.87,1.914,animoso
aniquilación,3.909,2.022,aniquilacion
aniquilamiento,3.762,1.7,aniquilamiento
anís,2.619,1.564,anis
aniversario,2.9,2.511,aniversario
ano,3.72,2.283,ano
anoche,2.92,2.04,anoche
anochecer,2.545,1.819,anochecer
anomalía,2.92,1.935,anomalia
anónima,3.25,2.027,anonima
anonimato,2.84,2.154,anonimato
anónimo,2.72,1.792,anonimo
anormal,4.28,2.246,anormal
anotación,2.304,1.46,anotacion
anotador,2.042,1.517,anotador
ansia,2.091,1.571,ansia
antagonismo,3.88,1.81,antagonismo
antagonista,2.3,1.75,antagonista
antaño,3.25,2.005,antano
antártico,2.0,1.345,antartico
ante,2.36,1.823,ante
